date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2024-01-01 00:00:00,11.9,9.9,13.9,0,,,16,55.5,1017.8,
2024-01-02 00:00:00,14.9,12.9,16.9,10.8,,,22.9,83.3,1011.3,
2024-01-03 00:00:00,13.4,11.6,15.6,0.4,,,15.9,59.3,1016.6,
2024-01-04 00:00:00,12.1,9.7,13.8,11,,,14.1,48.2,1012.5,
2024-01-05 00:00:00,10.8,9.4,12.5,2.8,,,18.3,53.7,1015.4,
2024-01-06 00:00:00,9.7,7.3,13.4,2.3,,,7.4,38.9,1023.7,
2024-01-07 00:00:00,8.8,6.6,12.7,0,,,8.3,29.6,1025.7,
2024-01-08 00:00:00,6.4,4.6,8.7,3.2,,,6.8,29.6,1021.5,
2024-01-09 00:00:00,7.8,4.7,11.3,9.2,,,6.5,24.1,1018.3,
2024-01-10 00:00:00,10.2,8.5,11.4,1.8,,,11.8,35.2,1019.5,
2024-01-11 00:00:00,7.8,5.6,10.4,0.2,,,14,53.7,1025.6,
2024-01-12 00:00:00,7.5,4.1,11.6,0,,,9,35.2,1024.8,
2024-01-13 00:00:00,12.2,8,15.3,3.4,,,12.3,35.2,1017.5,
2024-01-14 00:00:00,14.7,11.8,18.5,9.2,,,9,40.8,1013.7,
2024-01-15 00:00:00,15,13.2,16.3,1,,,10,25.9,1011.2,
2024-01-16 00:00:00,15.6,12.6,18.3,6.4,,,13.9,77.8,1002.9,
2024-01-17 00:00:00,15.1,13.7,17.6,11,,,24.4,77.8,992.3,
2024-01-18 00:00:00,11.1,9,14.7,3.8,,,19.3,94.5,1006.6,
2024-01-19 00:00:00,9.4,5.9,12,0,,,22.7,79.6,1015.8,
2024-01-20 00:00:00,8,2.1,13.7,0,,,10.3,61.1,1024.4,
2024-01-21 00:00:00,12.8,10.2,15.5,0,,,17,64.8,1028.3,
2024-01-22 00:00:00,15.7,14.9,16.7,4.8,,,15.9,59.3,1031.1,
2024-01-23 00:00:00,16,14.7,17.4,0.2,,,9.3,33.3,1035.7,
2024-01-24 00:00:00,14.4,11.8,17.1,0,,,6.5,24.1,1035.5,
2024-01-25 00:00:00,14.3,11.9,18.7,0,,,7.2,22.2,1033.1,
2024-01-26 00:00:00,13.1,11.3,15.5,0,,,5.6,24.1,1032.7,
2024-01-27 00:00:00,15.4,10.8,21.5,0,,,6.5,24.1,1026.2,
2024-01-28 00:00:00,15.6,12.5,18.2,0,,,10.5,29.6,1022.3,
2024-01-29 00:00:00,15.7,12.8,18.9,0,,,9.4,29.6,1024.2,
2024-01-30 00:00:00,14.8,11.8,20.1,0,,,5.2,16.7,1029.3,
2024-01-31 00:00:00,13.6,10.6,18.4,0,,,5.3,18.5,1033.9,
2024-02-01 00:00:00,11.6,9.3,14,0,,,7.2,31.5,1037.8,
2024-02-02 00:00:00,12.1,8.7,16.9,0,,,9.8,31.5,1034.2,
2024-02-03 00:00:00,12.9,8.3,19.2,0,,,6.7,29.6,1031.3,
2024-02-04 00:00:00,12.4,9.1,16.6,0,,,6.4,22.2,1032.1,
2024-02-05 00:00:00,11.8,8.8,15.3,0,,,5.4,18.5,1030.5,
2024-02-06 00:00:00,12.4,8.8,16.4,0,,,8.1,24.1,1026.3,
